symbol,timestamp,open,high,low,close,volume
BTC,2026-09-05T05:00:00+00:00,79464.0,79567.0,79413.0,79555.0,187.38559
ETH,2026-09-05T05:00:00+00:00,2448.1,2451.4,2444.1,2450.2,1903.8874
BTC,2026-09-05T06:00:00+00:00,79556.0,79683.0,79555.0,79614.0,211.26384
ETH,2026-09-05T06:00:00+00:00,2450.1,2453.7,2449.8,2453.3,1924.7444
BTC,2026-09-05T07:00:00+00:00,79614.0,79731.0,79610.0,79679.0,213.55621
ETH,2026-09-05T07:00:00+00:00,2453.2,2458.5,2452.8,2456.7,5768.6905
BTC,2026-09-05T08:00:00+00:00,79679.0,79693.0,79536.0,79621.0,172.21508
ETH,2026-09-05T08:00:00+00:00,2456.7,2457.0,2452.6,2456.1,2877.4444
BTC,2026-09-05T09:00:00+00:00,79622.0,79723.0,79586.0,79592.0,160.16016
ETH,2026-09-05T09:00:00+00:00,2456.0,2459.7,2456.0,2457.8,1994.7978
BTC,2026-09-05T10:00:00+00:00,79591.0,79618.0,79555.0,79584.0,121.49075
ETH,2026-09-05T10:00:00+00:00,2457.7,2458.1,2453.7,2454.0,928.0913
BTC,2026-09-05T11:00:00+00:00,79584.0,79618.0,79570.0,79571.0,205.35728
ETH,2026-09-05T11:00:00+00:00,2453.9,2455.5,2453.0,2453.1,697.9535
BTC,2026-09-05T12:00:00+00:00,79571.0,79729.0,79570.0,79668.0,129.55143
ETH,2026-09-05T12:00:00+00:00,2453.0,2461.3,2452.6,2458.2,3705.2602
BTC,2026-09-05T13:00:00+00:00,79669.0,79738.0,79497.0,79581.0,420.8403
ETH,2026-09-05T13:00:00+00:00,2458.1,2461.2,2449.3,2453.5,4924.855
BTC,2026-09-05T14:00:00+00:00,79582.0,79719.0,79581.0,79681.0,133.17971
ETH,2026-09-05T14:00:00+00:00,2453.4,2457.9,2453.2,2456.5,5213.6831
BTC,2026-09-05T15:00:00+00:00,79682.0,79788.0,79648.0,79765.0,393.72305
ETH,2026-09-05T15:00:00+00:00,2456.4,2459.6,2455.2,2459.5,4506.0039
BTC,2026-09-05T16:00:00+00:00,79764.0,80192.0,79728.0,80012.0,2005.11644
ETH,2026-09-05T16:00:00+00:00,2459.4,2474.0,2458.6,2471.0,21599.1508
BTC,2026-09-05T17:00:00+00:00,80013.0,80146.0,79966.0,80040.0,798.3908
ETH,2026-09-05T17:00:00+00:00,2470.9,2484.7,2470.6,2481.1,19708.9717
BTC,2026-09-05T18:00:00+00:00,80040.0,80056.0,79900.0,79969.0,400.98362
ETH,2026-09-05T18:00:00+00:00,2481.0,2482.3,2476.2,2480.2,2539.0342
BTC,2026-09-05T19:00:00+00:00,79970.0,79970.0,79670.0,79718.0,1205.49429
ETH,2026-09-05T19:00:00+00:00,2480.1,2482.5,2472.7,2477.1,5094.8446
BTC,2026-09-05T20:00:00+00:00,79718.0,79800.0,79658.0,79698.0,324.5553
ETH,2026-09-05T20:00:00+00:00,2477.2,2483.0,2475.2,2476.9,2239.9365
BTC,2026-09-05T21:00:00+00:00,79698.0,79908.0,79697.0,79872.0,444.51953
ETH,2026-09-05T21:00:00+00:00,2476.9,2493.0,2476.8,2488.7,12487.0897
BTC,2026-09-05T22:00:00+00:00,79873.0,79915.0,79725.0,79760.0,314.84834
ETH,2026-09-05T22:00:00+00:00,2488.6,2490.8,2479.0,2481.3,6117.1661
BTC,2026-09-05T23:00:00+00:00,79759.0,79867.0,79683.0,79804.0,291.99293
ETH,2026-09-05T23:00:00+00:00,2481.2,2483.6,2478.3,2479.9,6066.8871
BTC,2026-09-06T00:00:00+00:00,79804.0,79906.0,79799.0,79838.0,422.74152
ETH,2026-09-06T00:00:00+00:00,2479.8,2491.5,2478.4,2489.0,8534.8789
BTC,2026-09-06T01:00:00+00:00,79838.0,80050.0,79838.0,79917.0,487.21749
ETH,2026-09-06T01:00:00+00:00,2489.0,2507.4,2488.5,2505.2,25214.2543
BTC,2026-09-06T02:00:00+00:00,79919.0,79977.0,79845.0,79875.0,232.54324
ETH,2026-09-06T02:00:00+00:00,2505.5,2510.0,2500.4,2502.6,10469.7777
BTC,2026-09-06T03:00:00+00:00,79876.0,80081.0,79866.0,79995.0,284.84051
ETH,2026-09-06T03:00:00+00:00,2502.7,2514.3,2498.9,2509.5,21275.2427
BTC,2026-09-06T04:00:00+00:00,79994.0,79995.0,79836.0,79836.0,264.67843
ETH,2026-09-06T04:00:00+00:00,2509.5,2509.9,2498.3,2503.9,4280.0189
BTC,2026-09-06T05:00:00+00:00,79837.0,80100.0,79756.0,79958.0,1019.92953
ETH,2026-09-06T05:00:00+00:00,2504.3,2524.2,2501.3,2513.0,26281.5463
BTC,2026-09-06T06:00:00+00:00,79962.0,79965.0,79669.0,79753.0,480.46793
ETH,2026-09-06T06:00:00+00:00,2513.0,2513.0,2503.8,2505.7,7545.5864
BTC,2026-09-06T07:00:00+00:00,79753.0,79844.0,79568.0,79787.0,394.38843
ETH,2026-09-06T07:00:00+00:00,2505.8,2507.7,2483.0,2496.5,14083.7992
BTC,2026-09-06T08:00:00+00:00,79788.0,79876.0,79745.0,79825.0,153.64882
ETH,2026-09-06T08:00:00+00:00,2496.3,2499.5,2491.6,2495.0,3529.3708
BTC,2026-09-06T09:00:00+00:00,79826.0,79973.0,79774.0,79870.0,247.53053
ETH,2026-09-06T09:00:00+00:00,2495.1,2503.4,2493.8,2499.1,15327.9276
BTC,2026-09-06T10:00:00+00:00,79870.0,79994.0,79869.0,79978.0,280.95534
ETH,2026-09-06T10:00:00+00:00,2499.1,2503.2,2497.7,2501.7,8503.2435
BTC,2026-09-06T11:00:00+00:00,79979.0,79979.0,79874.0,79895.0,192.99272
ETH,2026-09-06T11:00:00+00:00,2501.6,2504.0,2499.5,2501.5,2408.3932
BTC,2026-09-06T12:00:00+00:00,79896.0,79988.0,79843.0,79904.0,160.71009
ETH,2026-09-06T12:00:00+00:00,2501.5,2505.0,2498.0,2500.5,4515.7679
BTC,2026-09-06T13:00:00+00:00,79904.0,79942.0,79737.0,79809.0,314.53864
ETH,2026-09-06T13:00:00+00:00,2500.5,2500.9,2486.6,2494.6,5956.8185
BTC,2026-09-06T14:00:00+00:00,79809.0,79824.0,79214.0,79522.0,1044.96056
ETH,2026-09-06T14:00:00+00:00,2494.6,2494.7,2462.3,2478.5,20344.5073
BTC,2026-09-06T15:00:00+00:00,79522.0,79690.0,79370.0,79684.0,341.62615
ETH,2026-09-06T15:00:00+00:00,2478.5,2482.4,2470.5,2479.7,7561.4435
BTC,2026-09-06T16:00:00+00:00,79682.0,79750.0,79580.0,79657.0,317.25197
ETH,2026-09-06T16:00:00+00:00,2479.6,2487.1,2475.3,2484.6,9208.1563
BTC,2026-09-06T17:00:00+00:00,79656.0,79745.0,79549.0,79725.0,277.22679
ETH,2026-09-06T17:00:00+00:00,2484.6,2494.7,2480.9,2491.1,7698.7028
BTC,2026-09-06T18:00:00+00:00,79725.0,79947.0,79722.0,79922.0,382.34459
ETH,2026-09-06T18:00:00+00:00,2491.0,2500.1,2491.0,2494.3,6453.3225
BTC,2026-09-06T19:00:00+00:00,79923.0,79923.0,79773.0,79809.0,149.86146
ETH,2026-09-06T19:00:00+00:00,2494.3,2494.6,2489.6,2490.6,5810.1861
BTC,2026-09-06T20:00:00+00:00,79808.0,79950.0,79759.0,79879.0,248.91976
ETH,2026-09-06T20:00:00+00:00,2490.6,2500.5,2489.1,2499.0,3544.7027
BTC,2026-09-06T21:00:00+00:00,79878.0,79998.0,79838.0,79919.0,361.47319
ETH,2026-09-06T21:00:00+00:00,2499.6,2516.0,2499.5,2507.3,18499.6841
BTC,2026-09-06T22:00:00+00:00,79919.0,80061.0,79619.0,80021.0,845.34577
ETH,2026-09-06T22:00:00+00:00,2507.2,2510.5,2489.4,2507.7,15780.1205
BTC,2026-09-06T23:00:00+00:00,80020.0,80514.0,79978.0,80314.0,1754.47875
ETH,2026-09-06T23:00:00+00:00,2507.7,2525.8,2506.1,2515.1,19948.0908
BTC,2026-09-07T00:00:00+00:00,80315.0,80428.0,80034.0,80112.0,633.43665
ETH,2026-09-07T00:00:00+00:00,2514.8,2523.0,2510.0,2513.7,24575.7317
BTC,2026-09-07T01:00:00+00:00,80114.0,80202.0,79802.0,79910.0,591.33664
ETH,2026-09-07T01:00:00+00:00,2513.7,2516.3,2500.5,2504.6,17909.1303
BTC,2026-09-07T02:00:00+00:00,79907.0,80400.0,79765.0,79851.0,775.81371
ETH,2026-09-07T02:00:00+00:00,2504.3,2536.0,2499.0,2512.0,25802.7292
BTC,2026-09-07T03:00:00+00:00,79852.0,79961.0,79537.0,79571.0,566.28747
ETH,2026-09-07T03:00:00+00:00,2512.3,2517.0,2497.2,2497.7,11683.4551
BTC,2026-09-07T04:00:00+00:00,79569.0,79709.0,79511.0,79704.0,302.77522
ETH,2026-09-07T04:00:00+00:00,2497.6,2500.0,2493.0,2498.1,7333.0541
